VIN,ENGINE_DESC,TRANSMISSION_DESC,BODY_STYLE,PLATFORM,REPAIR_AGE,KM,CUSTOMER_VERBATIM,CORRECTION_VERBATIM,CAUSAL_PART_NM,TRANSACTION_CATEGORY,TOTALCOST,LBRCOST,REPORTING_COST,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION
3HCFDDE89SH220903,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,6,8872,STEERING WHEEL COMING APART,REPLACED STEERING WHEEL NOW OKAY,WHEEL ASM-STRG *JET BLACK,FREG,370.03,61.46,370.03,Apex Auto Sales,ST JOHNS,MI,1
1HRFFEE8XSZ230636,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,5,16346,CUSTOMER STATES HEATED STEERING WHEEL INOP,"CHECKED - FOUND DTC'S U0229 - U1530 SET IN BCM. FOUND PIP5883J, VERIFI ED RPO OPTIONS. TESTED PER SI - WAS INCONCLUSIVE.TESTEDPERWIRING SC HEMATIC - ALL CIRCUITS TESTED OK. LOOKS LIKE FAULTY HEATED S-W MODULE. ORDERED NEW MODULE 9-26-23.1-2, REPLACEDHEATED S-W MODULE.",MODULE ASM-STRG WHL HT CONT,FREG,307.32,291.14,307.32,SilverPeak Motors,GRAND RAPIDS,MN,1
1HYKSMRK6SZ000990,NONE,NONE,4 Door Utility,BEV,9,8887,OWNER REPORTS: THE SUPER CRUISE BAR ON THE STEERING WHEEL IS COMING OF F. CHECK AND ADVISE. ADVISOR RUNNING PRA TOOL.,"APPROVED 4.9(OLH) FOR ADDED DIAGNOSTICS WITH TCSC TO FIGURE OUT AND CO MPLETE PROGRAMMING WHILE REPLACING THE STEERING WHEELASSEMBLY. ROB W. 1-2-24 3-31PM OLH FOR OPEN TAC CASE, CONTACT TCSC CASE # 9-1156925877 4 MULTIPLE TIMES AND COMPLETED DRIVE MOTORSOFTWARE UPDATE PROGRAMMING . PERFORMED SYSTEM CHECK AS PER CUSTOMERS CONCERN, STEERING WHEEL COMI NG APART. CONTACTED TAC CASE#9-11503916151 "" PLEASE BE AWARE IF A DEA LER RECEIVES A REPLACEMENT SUPER CRUISE STEERING WHEEL PART NUMBER 850 13816. ONCEINSTALLED THEY WILL NEED TO CONTACT TCSC AND REQUEST THIS BELOW. APPLIES TO 2023 AND 2024. ORDER AND REPLACED STEERING WHEEL, CONTACTED TCSC MANY TIMES AND ALSO GET ASSISTANCE FROM FSE BILL M. TO CO MPLETED PROGRAMMING. PER TCSC PROGRAMMED DRIVE MOTOR CONTROLMODULE 1 WCC-FDYZ196959052 PROG, SET UP WCC-0SYY196956992. AFTER PROGRAMMING CO MPLETED PERFORMED A DRIVE CYCLE AND CHECK STEERINGWHEEL OPERATION, OP ERATING NORMALLY AT THIS TIME. MILEAGE IN 5522, MILEAGE OUT 5532. CHAR GE VEHICLE SOON!!!",WHEEL ASM-STRG *BACKEN BLACKK,FREG,3205.45,1012.67,2457.45,Quantum Car Traders,SAN DIEGO,CA,1
3HCFDFEL3SH241701,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,10,15500,CUSTOMER STATES THE LETTERING AND FINISH ON THE STEERING WHEEL IS COMING OFF. Plant: SIL,STEERING WHEEL REPLACEMENT,WHEEL ASM-STRG *JET BLACK,FREG,445.28,63.18,445.28,Summit Drive Auto,SLINGER,WI,1
1HRFFHEL1RZ181474,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,0,8,C/S: CUSTOMER STATES THE SERVICE DRIVER ASSIST SYSTEM MESSAGE IS ON. A DVISE,REPLACED STEERING MESSAGE NO LONGER DISPLAYED,WHEEL ASM-STRG *JET BLACK,FREG,1439.65,136.0,1439.65,Horizon Motors,LIBERTY LAKE,WA,1
3HRFFHED7RH167541,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,0,14,Horn and steering wheel switches are inoperable,Remove and replace steering wheel wire harness,HARNESS ASM-STRG WHL HORN SW WRG,FREG,216.75,139.84,216.75,Prestige Wheels,COLUMBUS,NE,1
1HRFFHEL4RZ149960,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,2,856,CUST. STATES DRIVERS ASSIST LIGHT COMES ON DASH -SUPER CRUISE/LANE DEPARTURE WORKS INTERMITTENTLY-WAS DIAG. FORASTEERINGWHEELMODULE.,"ACCESSED, REMOVED AND REPLACED THE DRIVERS ASSISTANCE SYSTEMS MODULE. ACCESSED THE DIAGNOSTICPORTANDREPROGRAMMEDTHESYSTEMCALIBRATION USING THE MDI-2 WITH A WARRANTY CLAIM PROGRAMMING CODE OF FDYZ197418154. ROAD TESTEDTHEVEHICLETOVERIFYREPAIRS. THESYSTEM IS NOW OPERATING AS DESIGNED.",WHEEL ASM-STRG *JET BLACK,FREG,1488.94,150.03,1488.94,UrbanEdge Auto,BAY SHORE,NY,1
3HCFDFED4SH352945,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,3,4065,Special Order Part [ steering wheel heated steering wheel not working ],REPLACED STEERING WHEEL,WHEEL ASM-STRG *JET BLACK,FREG,427.08,57.61,427.08,Diamond Auto Traders,SAINT CLAIRSVILLE,OH,1
1HRF9CED6NZ221061,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",Crew Cab,Full-Size Trucks,21,31611,CUSTOMER STATES STEERING WHEEL IS MAKING A RUBBING NOISE WHEN TURING THE WHEEL LEFT AND RIGHT,TECHNICIAN FOUND THE STEERING COLUMN PLASTIC TRIM WAS NOT ALIGNED PROPERLY ADJUSTED TRIM AND FOUND THE CUSTOMER CONCERN IS NOLONGER PRESENT,,FREG,27.69,27.69,27.69,Legacy Car Sales,MADISON,OH,1
1HRFFHEL8RZ133325,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",Crew Cab,Full-Size Trucks,4,8304,Customer states that they are getting a message on the dash saying driver assist message. Check and advise,Steering Wheel Replacement,WHEEL ASM-STRG *VERY DARK AT,FREG,1147.09,146.06,1147.09,PrimeDrive Motors,BELLEVILLE,IL,1
1HCFDHE86SZ274242,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, ALUM, CSS50V, VAR. 2","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,8,6204,C/S: REMOVED STEERING WHEEL TO GAIN ACCESS TO BACK SIDE OF STEERING WHEEL WHERE TRIM IS THAT IS PROTRUDING AND REPLACED TRIM ANDSTILL IS PRETRUDING. ISSUE IS IN STEERING WHEEL ASSEMBLY reference ro# 82289 -- GM AUTHORIZATION# 490759800000,"GAINED ACCESS AND REMOVED OLD STEERING WHEEL AFTER DISCONNECTING BATTERY NEGATIVE. INSTALLED NEW STEERING WHEEL, APPLIED LOCTITE TOBOLT THAT RETAINS STEERING WHEEL. TIGHTED BOLT. RE INSTALLED AIR BAG, RE INSTALLED TRIM. RE CONNECTED BATTERY, CHECKED FOR ANYPROTRUDING FROM STEERING WHEEL MOLDING, ALL OK NOW GM AUTHORIZATION# 490759800000",WHEEL ASM-STRG *JET BLACK,FREG,,63.99,476.16,Platinum Wheels,PALMYRA,PA,1
1HYKNDRS3MZ177921,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2","TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",4 Door Utility,Global Crossover Vehicles,35,70354,C/S: CUSTOMER STATES THERE IS A PIECE OF THE STEERING WHEEL STICKING UP. SOP PART IS IN,TECH REPLACED STEERING WHEEL TO CORRECT PRA 487188600000,WHEEL ASM-STRG *DARK TITANIU,FREG,322.13,53.46,322.13,Redline Auto Co.,CINCINNATI,OH,1
1HYKSMRK4SZ001121,NONE,NONE,4 Door Utility,BEV,6,12628,(INSTALL SPECIAL ORDER PART) CUSTOMER STATES THE RIGHT SIDE STEERING WHEEL SUPER CRUISE PLASTIC COVER IS LIFTING UP AND NOT SECURE.PRA 491752600000,REPLACED STEERING WHEEL ASMY,WHEEL ASM-STRG *BACKEN BLACKK,FREG,1414.83,95.5,1414.83,LuxeCar Dealership,ONTARIO,CA,1
1H6DS5RK6S0127345,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3","BYT 10 SPD, 10L60, GEN 1, ATSS, ETRS, VAR 1",4 Door Sedan,Luxury Car-3,12,19743,Customer states heated steering wheel isnt working,Replaced heated steering wheel,WHEEL ASM-STRG *BLACK,FREG,562.5,85.86,562.5,CityStar Motors,POPLAR BLUFF,MO,1
1HC4YSEY3RF110164,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,9,17675,CUSTOMER STATES STEERING WHEEL CONROL PASSENGER SIDE REAR ON THE STEER ING WHEEL IS LOOSE SOP PART,CHECKED AND VERIFIED CUSTOMER CONCERN AND FOUND TRIM PIECE LOOSE REMOV ED REPLACED TRIM PIECE ON THE BACK OF THE PASSENGER SIDE OFSTEERING W HEEL COMPLETE,COVER-STRG WHL AIRBAG ACC HOLE *JET BLACK,FREG,63.1,61.27,63.1,Velocity Vehicle Sales,CORTLAND,OH,1
1HKS1JKL0SR282668,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5","BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",4 Door Utility,Full-Size Utility,10,21295,CUSTOMER STATES CK HORN ON THE STEERING WHEEL ONLY WORKS IN THE MIDDLE ON THE SIDE IT DOES NO WORK,"VERIFIED CUSTOMER CONCERN ABOUT A HORN INOP. I FOLLOWED DOCUMENT 4374183 TO DIAGNOSE THIS CONCERN. I MONITORED SCAN TOOL DATA FORTHE HORN ACTIVATION WHILE PRESSING THE HORN AND IT WAS CHANGING INTERMITTENTLY. I THEN TESTED CIRCUITS 3287 AT THE STEERING WHEELFOR A SHORT AND ALL WAS OK, I THEN TESTED CIRCUIT 6051 AND GROUND CIRCUIT HAD NO HIGH RESISTANCE. I THEN TESTED TERMINAL TENSION ONTHE STEERING WHEEL HARNESS AND FOUND LOOSE TENSION ON THE HORN CONNECTION AND REQUIRED A HARNESS REPLACEMENT I THEN REPLACED THESTEERING WHEEL HARNESS. AFTER REPAIRS, THE VEHICLE IS NOW HONKING AS DESIGNED",HARNESS ASM-STRG WHL HORN SW WRG,FREG,,202.67,275.55,Crestwood Auto,RIO GRANDE CITY,TX,1
1HC4Y9EY2MF192148,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,33,107905,�������� ������ ����������,Steering Wheel Replacement,WHEEL ASM-STRG *JET BLACK,FREG_POL,221.83,28.0,221.83,GoldenRoad Motors,KIRYAT GAT,,4
1H1FZ6S00N4109597,NONE,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",4 Door Sedan,Global Gamma,17,42079,"HEATED STEERING WHEEL INOP. WHEN YOU HIT THE BUTTON ON IT TURNS OFF IMMEDIATELY. WHEN REMOTE STARTING IT, IT WILL TURN LIGHT ON BUTNEVER HEAT UP. - RO 6124563 - RO 6126117 - DAVE - PRA #495554400000","REPLACE STEERING WHEEL CHECK OK 1699-,0130",WHEEL ASM-STRG *JET BLACK,FREG,457.47,62.02,411.47,TrueDrive Auto,CLARKSTON,MI,1
1HNEVKKW6SJ216435,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+","BYT 9 SPD, 9T65, GEN 1",4 Door Utility,Crossover SUV,10,17774,STEERING WHEEL FRAYING PARTS ARE IN,INSTALLED SPECIAL ORDERED STEERING WHEEL DUE TO THREADS FRAYING ON WHE EL 0130 .4 629,WHEEL ASM-STRG * JET BLACK,FREG,395.44,50.27,395.44,Titan Motors Group,SAGINAW,MI,1
1HR49WEY2NF322460,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1","BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",Crew Cab,Full-Size Trucks,20,34161,Added Operation horn doesnt work hasnt worked since brand new Tech Cause horn connector not fully seated on harn assembly anddisconnected Tech Comments Reconnected horn checked operation ok,"Reconnected horn checked operation, ok.",,FREG,31.6,31.6,30.09,BlueSky Auto Sales,EDMONTON,AB,1
3HRFFCER3NH528824,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V","BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",Crew Cab,Full-Size Trucks,22,34260,CUSTOMER STATES STITCHING ON STEERING WHEEL IS COMING UNDONE ON THE RI GHT SIDE,"PRA APPROVED, PRA #495794600000 FOUND THE STEERING WHEEL TO BE COMING APART. REPLACED THE STEERING WHEEL. VERIFIED REPAIR.",WHEEL ASM-STRG *BLACK,FREG,621.34,107.28,621.34,MetroMax Motors,DALLAS,TX,1
