Vin,Engine_Desc,Transmission_Desc,Body_Style,Platform,Repair_Age,Km,Customer_Verbatim,Correction_Verbatim,Causal_Part_Nm,Transaction_Category,Totalcost,Lbrcost,Reporting_Cost,Dealer_Name,Repair_Dlr_City,State,Dealer_Region,Combined_Text,Clean_Text,Generated_Tags
3Hcfdde89Sh220903,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2","Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",Crew Cab,Full-Size Trucks,6,8872,Steering Wheel Coming Apart,Replaced Steering Wheel Now Okay,Wheel Asm-Strg *Jet Black,Freg,370.03,61.46,370.03,Apex Auto Sales,St Johns,Mi,1,Steering Wheel Coming Apart Replaced Steering Wheel Now Okay,steering wheel coming apart replaced steering wheel now okay,['steering_issue']
1Hrffee8Xsz230636,"Diesel, 6 Cyl, 3.0L, Cri, L6, Dohc, Turbo, Vgt, Alum, Css50V, Var. 2","Byt 10 Spd, 10L80, Atss, Etrs, Cpa, Gen 2",Crew Cab,Full-Size Trucks,5,16346,Customer States Heated Steering Wheel Inop,"Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",Module Asm-Strg Whl Ht Cont,Freg,307.32,291.14,307.32,Silverpeak Motors,Grand Rapids,Mn,1,"Customer States Heated Steering Wheel Inop Checked - Found Dtc'S U0229 - U1530 Set In Bcm. Found Pip5883J, Verifi Ed Rpo Options. Tested Per Si - Was Inconclusive.Testedperwiring Sc Hematic - All Circuits Tested Ok. Looks Like Faulty Heated S-W Module. Ordered New Module 9-26-23.1-2, Replacedheated S-W Module.",customer states heated steering wheel inop checked  found dtcs u  u set in bcm found pipj verifi ed rpo options tested per si  was inconclusivetestedperwiring sc hematic  all circuits tested ok looks like faulty heated sw module ordered new module  replacedheated sw module,"['electronics', 'steering_issue', 'heat_issue']"
1Hyksmrk6Sz000990,Unknown,Unknown,4 Door Utility,Bev,9,8887,Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool.,"Approved 4.9(Olh) For Added Diagnostics With Tcsc To Figure Out And Co Mplete Programming While Replacing The Steering Wheel Assembly. Rob W. 1-2-24 3-31Pm Olh For Open Tac Case, Contact Tcsc Case # 9-1156925877 4 Multiple Times And Completed Drive Motor Software Update Programming . Performed System Check As Per Customers Concern, Steering Wheel Coming Apart. Contacted Tac Case#9-11503916151 "" Please Be Aware If A Dea Ler Receives A Replacement Super Cruise Steering Wheel Part Number 850 13816. Onceinstalled They Will Need To Contact Tcsc And Request This Below. Applies To 2023 And 2024. Order And Replaced Steering Wheel, Contacted Tcsc Many Times And Also Get Assistance From Fse Bill M. To Completed Programming. Per Tcsc Programmed Drive Motor Controlmodule 1 Wcc-Fdyz196959052 Programmed, Set Up Wcc-0Syy196956992. After Programming Completed Performed A Drive Cycle And Check Steering Wheel Operation, Operating Normally At This Time. Mileage In 5522, Mileage Out 5532. Char Ge Vehicle Soon!!!",Wheel Asm-Strg *Backen Blackk,Freg,3205.45,1012.67,2457.45,Quantum Car Traders,San Diego,Ca,1,"Owner Reports: The Super Cruise Bar On The Steering Wheel Is Coming Of F. Check And Advise. Advisor Running Pra Tool. Approved 4.9(Olh) For Added Diagnostics With Tcsc To Figure Out And Co Mplete Programming While Replacing The Steering Wheel Assembly. Rob W. 1-2-24 3-31Pm Olh For Open Tac Case, Contact Tcsc Case # 9-1156925877 4 Multiple Times And Completed Drive Motor Software Update Programming . Performed System Check As Per Customers Concern, Steering Wheel Coming Apart. Contacted Tac Case#9-11503916151 "" Please Be Aware If A Dea Ler Receives A Replacement Super Cruise Steering Wheel Part Number 850 13816. Onceinstalled They Will Need To Contact Tcsc And Request This Below. Applies To 2023 And 2024. Order And Replaced Steering Wheel, Contacted Tcsc Many Times And Also Get Assistance From Fse Bill M. To Completed Programming. Per Tcsc Programmed Drive Motor Controlmodule 1 Wcc-Fdyz196959052 Programmed, Set Up Wcc-0Syy196956992. After Programming Completed Performed A Drive Cycle And Check Steering Wheel Operation, Operating Normally At This Time. Mileage In 5522, Mileage Out 5532. Char Ge Vehicle Soon!!!",owner reports the super cruise bar on the steering wheel is coming of f check and advise advisor running pra tool approved olh for added diagnostics with tcsc to figure out and co mplete programming while replacing the steering wheel assembly rob w  pm olh for open tac case contact tcsc case    multiple times and completed drive motor software update programming  performed system check as per customers concern steering wheel coming apart contacted tac case  please be aware if a dea ler receives a replacement super cruise steering wheel part number   onceinstalled they will need to contact tcsc and request this below applies to  and  order and replaced steering wheel contacted tcsc many times and also get assistance from fse bill m to completed programming per tcsc programmed drive motor controlmodule  wccfdyz programmed set up wccsyy after programming completed performed a drive cycle and check steering wheel operation operating normally at this time mileage in  mileage out  char ge vehicle soon,"['electronics', 'steering_issue', 'cruise_control']"
3Hcfdfel3Sh241701,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,10,15500,Customer States The Lettering And Finish On The Steering Wheel Is Coming Off. Plant: Sil,Steering Wheel Replacement,Wheel Asm-Strg *Jet Black,Freg,445.28,63.18,445.28,Summit Drive Auto,Slinger,Wi,1,Customer States The Lettering And Finish On The Steering Wheel Is Coming Off. Plant: Sil Steering Wheel Replacement,customer states the lettering and finish on the steering wheel is coming off plant sil steering wheel replacement,['steering_issue']
1Hrffhel1Rz181474,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,0,8,C/S: Customer States The Service Driver Assist System Message Is On. A Dvise,Replaced Steering Message No Longer Displayed,Wheel Asm-Strg *Jet Black,Freg,1439.65,136,1439.65,Horizon Motors,Liberty Lake,Wa,1,C/S: Customer States The Service Driver Assist System Message Is On. A Dvise Replaced Steering Message No Longer Displayed,cs customer states the service driver assist system message is on a dvise replaced steering message no longer displayed,['steering_issue']
3Hrffhed7Rh167541,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,0,14,Horn And Steering Wheel Switches Are Inoperable,Remove And Replaced Steering Wheel Wire Harness,Harness Asm-Strg Whl Horn Sw Wrg,Freg,216.75,139.84,216.75,Prestige Wheels,Columbus,Ne,1,Horn And Steering Wheel Switches Are Inoperable Remove And Replaced Steering Wheel Wire Harness,horn and steering wheel switches are inoperable remove and replaced steering wheel wire harness,['steering_issue']
1Hrffhel4Rz149960,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,2,856,Cust. States Drivers Assist Light Comes On Dash -Super Cruise/Lane Departure Works Intermittently-Was Diagnosis. Forasteeringwheelmodule.,"Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosis Programmed System Calibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Test The Vehicle To Verify Repairs. Thesystem Is Now Operating As Designed.",Wheel Asm-Strg *Jet Black,Freg,1488.94,150.03,1488.94,Urbanedge Auto,Bay Shore,Ny,1,"Cust. States Drivers Assist Light Comes On Dash -Super Cruise/Lane Departure Works Intermittently-Was Diagnosis. Forasteeringwheelmodule. Accessed, Removed And Replaced The Drivers Assistance Systems Module. Accessed The Diagnosis Programmed System Calibration Using The Mdi-2 With A Warranty Claim Programming Code Of Fdyz197418154. Road Test The Vehicle To Verify Repairs. Thesystem Is Now Operating As Designed.",cust states drivers assist light comes on dash super cruiselane departure works intermittentlywas diagnosis forasteeringwheelmodule accessed removed and replaced the drivers assistance systems module accessed the diagnosis programmed system calibration using the mdi with a warranty claim programming code of fdyz road test the vehicle to verify repairs thesystem is now operating as designed,"['electronics', 'steering_issue', 'cruise_control']"
3Hcfdfed4Sh352945,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,3,4065,Special Order Part [ Steering Wheel Heated Steering Wheel Not Working ],Replaced Steering Wheel,Wheel Asm-Strg *Jet Black,Freg,427.08,57.61,427.08,Diamond Auto Traders,Saint Clairsville,Oh,1,Special Order Part [ Steering Wheel Heated Steering Wheel Not Working ] Replaced Steering Wheel,special order part  steering wheel heated steering wheel not working  replaced steering wheel,"['steering_issue', 'heat_issue']"
1Hrf9Ced6Nz221061,"Gas, 8 Cyl, 5.3L, V8, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Atss, Cpa, Gen 2",Crew Cab,Full-Size Trucks,21,31611,Customer States Steering Wheel Is Making A Rubbing Noise When Turing The Wheel Left And Right,Technician Found The Steering Column Plastic Trim Was Not Aligned Properly Adjusted Trim And Found The Customer Concern Is Nolonger Present,Wheel Asm-Strg *Jet Black,Freg,27.69,27.69,27.69,Legacy Car Sales,Madison,Oh,1,Customer States Steering Wheel Is Making A Rubbing Noise When Turing The Wheel Left And Right Technician Found The Steering Column Plastic Trim Was Not Aligned Properly Adjusted Trim And Found The Customer Concern Is Nolonger Present,customer states steering wheel is making a rubbing noise when turing the wheel left and right technician found the steering column plastic trim was not aligned properly adjusted trim and found the customer concern is nolonger present,"['steering_issue', 'material_wear']"
1Hrffhel8Rz133325,"Gas, 8 Cyl, V8, 6.2L, Di, Dfm, Alum, Gen 5","Byt 10 Spd, 10L80, Grx, Gen 1, Atss, Etrs, Var 1",Crew Cab,Full-Size Trucks,4,8304,Customer States That They Are Getting A Message On The Dash Saying Driver Assist Message. Check And Advise,Steering Wheel Replacement,Wheel Asm-Strg *Very Dark At,Freg,1147.09,146.06,1147.09,Primedrive Motors,Belleville,Il,1,Customer States That They Are Getting A Message On The Dash Saying Driver Assist Message. Check And Advise Steering Wheel Replacement,customer states that they are getting a message on the dash saying driver assist message check and advise steering wheel replacement,['steering_issue']
